term,event_label,event_slug,event_month,stage,party,mentions,agenda_share,balance,negative_rate,positive_rate,position
22,2006 market turbulence,2006_market_turbulence,2006-05,pre,Cumhuriyet Halk Partisi,1331.0,0.3941368078175896,-0.01532033426183844,0.2734785875281743,0.26521412471825695,0.6102509318924707
22,2006 market turbulence,2006_market_turbulence,2006-05,pre,Adalet ve Kalkınma Partisi,1168.0,0.3458691145987563,0.23963730569948186,0.2508561643835616,0.4092465753424658,0.13663350506270325
22,2006 market turbulence,2006_market_turbulence,2006-05,pre,Anavatan Partisi,631.0,0.18685223571217058,-0.09925558312655088,0.3502377179080824,0.2868462757527734,0.674539813685089
22,2006 market turbulence,2006_market_turbulence,2006-05,pre,Doğru Yol Partisi,129.0,0.03819958543085579,-0.0851063829787234,0.1937984496124031,0.16279069767441862,-0.32689016879094207
22,2006 market turbulence,2006_market_turbulence,2006-05,pre,Bağımsız,118.0,0.034942256440627775,0.547945205479452,0.13559322033898305,0.4745762711864407,0.5713507780216441
22,2006 market turbulence,2006_market_turbulence,2006-05,shock,Cumhuriyet Halk Partisi,395.0,0.4691211401425178,0.2884012539184953,0.28607594936708863,0.5189873417721519,0.7594497806292034
22,2006 market turbulence,2006_market_turbulence,2006-05,shock,Adalet ve Kalkınma Partisi,253.0,0.3004750593824228,0.5347593582887701,0.16996047430830039,0.5652173913043478,1.4742288870479598
22,2006 market turbulence,2006_market_turbulence,2006-05,shock,Anavatan Partisi,115.0,0.13657957244655583,0.19047619047619047,0.21739130434782608,0.3217391304347826,0.5816647963012188
22,2006 market turbulence,2006_market_turbulence,2006-05,shock,Doğru Yol Partisi,59.0,0.07007125890736342,-0.6785714285714286,0.3898305084745763,0.06779661016949153,-2.1664514206437846
22,2006 market turbulence,2006_market_turbulence,2006-05,shock,Bağımsız,20.0,0.023752969121140142,-0.5,1.4,0.45,-1.327644656109665
22,2006 market turbulence,2006_market_turbulence,2006-05,post,Adalet ve Kalkınma Partisi,930.0,0.36442006269592475,0.24403927068723702,0.289247311827957,0.47634408602150535,0.5690473754962204
22,2006 market turbulence,2006_market_turbulence,2006-05,post,Cumhuriyet Halk Partisi,640.0,0.2507836990595611,0.11298076923076923,0.2875,0.3609375,0.2492867135230795
22,2006 market turbulence,2006_market_turbulence,2006-05,post,Anavatan Partisi,546.0,0.2139498432601881,0.1992619926199262,0.1978021978021978,0.2967032967032967,0.8795015559762419
22,2006 market turbulence,2006_market_turbulence,2006-05,post,Doğru Yol Partisi,248.0,0.09717868338557993,-0.40441176470588236,0.38306451612903225,0.16129032258064516,-1.9742159246671471
22,2006 market turbulence,2006_market_turbulence,2006-05,post,Bağımsız,188.0,0.07366771159874608,0.42328042328042326,0.2872340425531915,0.7127659574468085,1.0350087984052683
22,E-memorandum,e_memorandum,2007-04,pre,Adalet ve Kalkınma Partisi,753.0,0.4300399771559109,0.4186046511627907,0.24833997343957503,0.6069057104913679,1.1327338929042932
22,E-memorandum,e_memorandum,2007-04,pre,Cumhuriyet Halk Partisi,562.0,0.3209594517418618,0.1906474820143885,0.199288256227758,0.29359430604982206,0.5220347914067324
22,E-memorandum,e_memorandum,2007-04,pre,Anavatan Partisi,262.0,0.14962878355225587,-0.13930348258706468,0.4351145038167939,0.3282442748091603,-0.6657886742191944
22,E-memorandum,e_memorandum,2007-04,pre,Bağımsız,133.0,0.0759565962307253,0.025423728813559324,0.42857142857142855,0.45112781954887216,0.005811033181198392
22,E-memorandum,e_memorandum,2007-04,pre,Doğru Yol Partisi,41.0,0.023415191319246145,-0.375,0.3902439024390244,0.17073170731707318,-0.23021723737392938
22,E-memorandum,e_memorandum,2007-04,shock,Cumhuriyet Halk Partisi,142.0,0.42900302114803623,0.15384615384615385,0.2676056338028169,0.36619718309859156,0.09912436931518245
22,E-memorandum,e_memorandum,2007-04,shock,Adalet ve Kalkınma Partisi,131.0,0.3957703927492447,0.5660377358490566,0.08396946564885496,0.31297709923664124,1.571246545623791
22,E-memorandum,e_memorandum,2007-04,shock,Doğru Yol Partisi,27.0,0.08157099697885196,-0.9473684210526315,0.6666666666666666,0.0,-2.1556362262687023
22,E-memorandum,e_memorandum,2007-04,shock,Bağımsız,19.0,0.05740181268882175,-0.13636363636363635,0.631578947368421,0.47368421052631576,-0.5656774175683517
22,E-memorandum,e_memorandum,2007-04,shock,Anavatan Partisi,12.0,0.03625377643504532,0.0,0.0,0.0,-0.127664556509789
22,E-memorandum,e_memorandum,2007-04,post,Cumhuriyet Halk Partisi,578.0,0.4931740614334471,0.08259587020648967,0.2681660899653979,0.3166089965397924,-0.2522947954913323
22,E-memorandum,e_memorandum,2007-04,post,Adalet ve Kalkınma Partisi,432.0,0.36860068259385664,0.605072463768116,0.125,0.5115740740740741,-0.12435512860529163
22,E-memorandum,e_memorandum,2007-04,post,Anavatan Partisi,150.0,0.12798634812286688,0.02631578947368421,0.36666666666666664,0.38666666666666666,-0.27260296334338135
22,E-memorandum,e_memorandum,2007-04,post,Bağımsız,10.0,0.008532423208191127,-0.4,0.3,0.1,-1.0483586058586558
22,E-memorandum,e_memorandum,2007-04,post,Doğru Yol Partisi,2.0,0.0017064846416382253,0.6666666666666666,0.0,1.0,2.013731653109851
